"id_data","harga","luas_tanah","luas_bangunan","kamar_tidur","kamar_mandi","garasi","kota","harga_per_m2_tanah","harga_per_m2_bangunan","flag_data_tidak_valid","flag_outlier_iqr_harga","flag_outlier_iqr_luas_tanah","flag_outlier_iqr_luas_bangunan","flag_outlier_iqr_kamar_tidur","flag_outlier_iqr_kamar_mandi","flag_outlier_iqr"
"JKS0673",10000000000,227,400,6,4,"ada","Jakarta Selatan",44052863.44,25000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0674",10500000000,876,700,7,4,"tidak_ada","Jakarta Selatan",11986301.37,15000000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"JKS0675",15000000000,400,450,5,4,"ada","Jakarta Selatan",37500000,33333333.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0676",8950000000,246,340,6,3,"ada","Jakarta Selatan",36382113.82,26323529.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0677",22000000000,1000,800,5,4,"ada","Jakarta Selatan",22000000,27500000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0678",6800000000,133,331,4,3,"ada","Jakarta Selatan",51127819.55,20543806.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0679",5200000000,347,300,5,4,"tidak_ada","Jakarta Selatan",14985590.78,17333333.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0680",20000000000,450,550,5,2,"tidak_ada","Jakarta Selatan",44444444.44,36363636.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0681",26000000000,700,887,4,5,"tidak_ada","Jakarta Selatan",37142857.14,29312288.61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0682",15500000000,450,400,4,4,"tidak_ada","Jakarta Selatan",34444444.44,38750000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0683",6900000000,625,500,4,4,"ada","Jakarta Selatan",11040000,13800000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0684",2750000000,130,175,3,3,"tidak_ada","Jakarta Selatan",21153846.15,15714285.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0685",9550000000,251,288,4,3,"tidak_ada","Jakarta Selatan",38047808.76,33159722.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0686",15000000000,520,500,4,4,"ada","Jakarta Selatan",28846153.85,30000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0687",15000000000,1055,650,8,5,"ada","Jakarta Selatan",14218009.48,23076923.08,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"JKS0688",28000000000,1020,816,5,3,"ada","Jakarta Selatan",27450980.39,34313725.49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
