"id_data","nomor_sumber","nama_rumah","harga","luas_tanah","luas_bangunan","kamar_tidur","kamar_mandi","jumlah_garasi","garasi","harga_per_m2_tanah","harga_per_m2_bangunan","flag_data_tidak_valid","flag_outlier_iqr_harga","flag_outlier_iqr_luas_tanah","flag_outlier_iqr_luas_bangunan","flag_outlier_iqr_kamar_tidur","flag_outlier_iqr_kamar_mandi","flag_outlier_iqr_jumlah_garasi","flag_outlier_iqr"
"RMT0631",632,"Rumah Baru Siap Huni. MURAH ! Tebet Barat",3050000000,89,173,3,4,2,"ada",34269662.92,17630057.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0632",633,"Rumah Bagus Siap Huni FULL FURNISHED Di Dalam Komplek Tebet Barat",5750000000,121,250,4,4,2,"ada",47520661.16,23000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0633",634,"Rumah Baru Dalam Komplek Tebet",4500000000,110,250,4,3,1,"ada",40909090.91,18000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0634",635,"RUMAH MEWAH TEBET",28000000000,498,750,5,5,3,"ada",56224899.6,37333333.33,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"RMT0635",636,"Rumah Tebet 2 lantai",6500000000,205,117,5,4,0,"tidak_ada",31707317.07,55555555.56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0636",637,"Rumah tebet ada ruang usaha jakarta selatan",13000000000,400,500,6,3,2,"ada",32500000,26000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0637",638,"Rumah Mewah Cantik Minimalis Modern Harga Dibawah Pasaran di Jalan Raya Tebet Timur Dalam Raya Tebet",25000000000,565,350,5,5,1,"ada",44247787.61,71428571.43,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"RMT0638",639,"good unit house tebet jakarta",7300000000,325,500,5,5,1,"ada",22461538.46,14600000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0639",640,"Rumah Tebet Timur, Jalan 1 Mobil",2900000000,135,125,5,2,1,"ada",21481481.48,23200000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0640",641,"Rumah Tebet Timur, Jalan 2 Mobil Dekat Taman Tebet",8000000000,278,278,7,3,2,"ada",28776978.42,28776978.42,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"RMT0641",642,"Rumah Cantik Jalan 2 Mobil Tebet",6250000000,180,240,7,5,0,"tidak_ada",34722222.22,26041666.67,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"RMT0642",643,"Dekat Stasiun Tebet Dan Mega Kuningan",8750000000,322,300,4,4,2,"ada",27173913.04,29166666.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0643",644,"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",5500000000,140,360,4,4,2,"ada",39285714.29,15277777.78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0644",645,"Rumah Di Jual Tebet Barat, Luas Tanah 550 Meter",16500000000,550,700,6,6,1,"ada",30000000,23571428.57,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"RMT0645",646,"good unit house tebet jakarta",1100000000,300,63,3,1,1,"ada",3666666.67,17460317.46,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
