"model","repeat_id","fold_id","n_test","mae","rmse","rmsle","r2","mape","prediksi_negatif_sebelum_batas"
"linear_log",4,4,91,6485970388.39886,14147098664.63,0.450663480438484,0.540519073890955,39.3098830686851,0
"spline_log",4,4,91,6344047280.62778,14026737984.1494,0.448287511417606,0.548304158728524,38.5233843453981,0
"random_forest_log",4,4,91,6666055349.94578,14467201647.7036,0.449990388893179,0.51949070557369,37.6455380972011,0
"linear_raw",4,5,90,4331064185.38316,7330551860.45743,3.66670955959807,0.68515647639157,36.3306110064812,3
"linear_log",4,5,90,4358247382.91305,7554937454.42786,0.362467363807151,0.665586986317758,31.0932990568172,0
"spline_log",4,5,90,4150125235.09402,7101647873.39037,0.362589187970376,0.704512106369039,31.0699179931341,0
"random_forest_log",4,5,90,4992511700.56414,9102779387.70135,0.399268518411697,0.514522107481022,34.7785053524746,0
"linear_raw",4,6,90,7824509554.89366,16190485490.2482,0.501624550112968,0.398792089557125,48.2744067526233,0
"linear_log",4,6,90,7284291021.59909,15312230415.4253,0.465499275846355,0.462248223225249,43.5428856436053,0
"spline_log",4,6,90,7313607481.40285,15575845046.5383,0.470432884757322,0.443573021439098,44.0526258295687,0
"random_forest_log",4,6,90,6058514712.08789,13563912447.4546,0.449686543583211,0.578036487968224,40.4225631913532,0
"linear_raw",4,7,90,8128054890.97109,16901449642.796,2.97058117160869,0.473981917902882,46.6499809159465,2
"linear_log",4,7,90,7574323016.81282,16500853438.0136,0.448707875414611,0.498621651317338,41.1235043040765,0
"spline_log",4,7,90,7729820114.81723,17055294900.0035,0.444342115040182,0.464362187042884,40.2842094504573,0
"random_forest_log",4,7,90,6988832021.00516,15082373300.6671,0.430930155272181,0.581117580571503,38.4862926019278,0
"linear_raw",4,8,90,5907067485.51655,11270692667.1245,2.92852914173186,0.371185397086261,39.7308949820663,2
"linear_log",4,8,90,5711672610.452,12003531198.3344,0.439938247042355,0.286753818978972,34.9261318835933,0
"spline_log",4,8,90,5577066662.01051,11505980070.8926,0.440593538979891,0.344657039483972,34.1012205585182,0
"random_forest_log",4,8,90,5810508744.13667,12264811844.7855,0.441808631953927,0.255365448428058,35.3619424896203,0
"linear_raw",4,9,90,5970906773.28901,18148115771.2396,3.02045255117723,0.26472823673897,31.6560552421841,2
"linear_log",4,9,90,7931542590.65551,39166856334.3048,0.338443138427484,-2.4246976507341,29.3918287550439,0
"spline_log",4,9,90,8088786816.62317,41434268301.8017,0.332535655738026,-2.83269406102207,29.1717111191122,0
"random_forest_log",4,9,90,4525072879.32509,8452063510.23128,0.342743692706931,0.840518500870528,30.6059193505392,0
"linear_raw",4,10,90,5880340235.96576,13760482649.5553,3.00357185423913,0.525657469786177,37.8880666881603,2
"linear_log",4,10,90,5407203283.11567,12937808735.0606,0.37683010984244,0.580679413360464,30.231243093021,0
"spline_log",4,10,90,5322671647.19455,13042722890.2898,0.378440705500362,0.573851203611481,29.9227670829347,0
